,id,geographyFk_city,geographyFk_province,title,price,pricePerSqm,floorArea,lotArea,propertyCategory
177,cf7760f5-e4ec-43f4-839a-d7de783f6a7c,72250000,72200000,Vacant Lot,5980000.0,20000.0,,299.0,Vacant Lot
178,6341ab2b-9794-4699-8dba-9cb31d1b9f45,112402000,112400000,With Improvement,3263000.0,25100.0,205.56,130.0,Lot with Improvement
179,a09eb567-8235-4b43-8bd9-5993550ab60b,,45800000,With Improvement,994000.0,15061.0,63.0,66.0,Lot with Improvement
180,6a638211-d9bb-4544-8ff4-8fc7288aaef6,,45800000,With Improvement,994000.0,15061.0,63.0,66.0,Lot with Improvement
181,bb3ab2e0-29e9-4232-8d64-e91c3eed0b7e,,45800000,With Improvement,1356000.0,20545.0,95.0,66.0,Lot with Improvement
182,14a736f9-9c5a-4960-b6b1-4c80125bcbfd,,45800000,With Improvement-Bundle,1356000.0,20545.0,95.0,66.0,Lot with Improvement
183,71520e41-b6e5-4214-810c-b57d3c71b917,,45800000,With Improvement,1996000.0,13046.0,95.0,153.0,Lot with Improvement
184,afdc6818-2097-46a7-92bd-d9eefe0bccaf,,45800000,With Improvement,854000.0,14233.0,49.0,60.0,Lot with Improvement
185,f622868f-f0cc-4716-96ee-aa75e6c2a2ec,,45800000,With Improvement,994000.0,15061.0,63.0,66.0,Lot with Improvement
186,653619d0-6c49-4ed8-bb08-2144694d7658,63022000,63000000,With Improvement,1080000.0,24000.0,40.0,45.0,Lot with Improvement
187,98e9e461-9f20-4339-a7b1-a3f6cb4338b3,64501000,64500000,With Improvement,9384000.0,39100.0,368.56,240.0,Lot with Improvement
188,56bdeeb8-f19f-4a5c-8b17-1a32b568d109,42108000,42100000,With Improvement,1859000.0,37180.0,60.0,50.0,Lot with Improvement
189,99dec09e-a0b4-48c6-8173-264cadadf53f,72217000,72200000,With Improvement,6788774.83,94289.0,225.0,72.0,Lot with Improvement
190,2ad1867d-8a21-405c-bd31-114686dea4b5,42108000,42100000,With Improvement,1443000.0,28860.0,50.0,50.0,Lot with Improvement
191,f3a06cd9-cbdb-43fa-a1d0-ab188cc60ba2,42108000,42100000,With Improvement,1593000.0,31860.0,50.0,50.0,Lot with Improvement
192,7521e4fe-4470-4054-9cf5-43998992b456,42109000,42100000,With Improvement,1128000.0,28200.0,40.0,40.0,Lot with Improvement
193,179b4dac-8967-41de-bef4-5f54d64d9657,42108000,42100000,With Improvement,1443000.0,28860.0,50.0,50.0,Lot with Improvement
194,96785e4d-7231-4983-96bb-f0987c8e5056,,72200000,With Improvement,3923000.0,26329.0,52.0,149.0,Lot with Improvement
195,e6a2d444-ced1-40a3-bd8f-0a2842141022,72226000,72200000,With Improvement,1694000.0,40333.0,48.0,42.0,Lot with Improvement
