,geographyFk,capacityToPayPagibig,capacityToPayBank,houseMedianPrice,listingCount,pagIbigRequiredLoan,pagIbigAmortization,pagIbigCapacity,pagIbigGap,pagIbigLoanStatus,bankRequiredLoan,bankAmortization,bankCapacity,bankGap,bankLoanStatus
116,133900000.0,14081.55,12069.9,4013370.0,781,516150.0,3012.11,14081.55,11069.44,Applicable,458800.0,3557.07,12069.9,8512.83,Applicable
117,133900000.0,14081.55,12069.9,4013370.0,781,514800.0,3004.23,14081.55,11077.32,Applicable,457600.0,3547.77,12069.9,8522.13,Applicable
118,133900000.0,14081.55,12069.9,4013370.0,781,514800.0,3004.23,14081.55,11077.32,Applicable,457600.0,3547.77,12069.9,8522.13,Applicable
119,133900000.0,14081.55,12069.9,4013370.0,781,516150.0,3012.11,14081.55,11069.44,Applicable,458800.0,3557.07,12069.9,8512.83,Applicable
120,133900000.0,14081.55,12069.9,4013370.0,781,3049200.0,17794.3,14081.55,-3712.75,Not Applicable,2710400.0,21013.7,12069.9,-8943.8,Not Applicable
121,133900000.0,14081.55,12069.9,4013370.0,781,5404500.0,31539.2,14081.55,-17457.65,Not Applicable,4804000.0,37245.36,12069.9,-25175.46,Not Applicable
122,133900000.0,14081.55,12069.9,4013370.0,781,3099600.0,18088.42,14081.55,-4006.87,Not Applicable,2755200.0,21361.04,12069.9,-9291.14,Not Applicable
123,137405000.0,24581.9,21070.2,6065000.0,63,1227600.0,7163.94,24581.9,17417.96,Applicable,1091200.0,8460.06,21070.2,12610.14,Applicable
124,133900000.0,14081.55,12069.9,4013370.0,781,1524600.0,8897.15,14081.55,5184.4,Applicable,1355200.0,10506.85,12069.9,1563.05,Applicable
125,133900000.0,14081.55,12069.9,4013370.0,781,13867198.956,80925.21,14081.55,-66843.66,Not Applicable,12326399.072,95566.44,12069.9,-83496.54,Not Applicable
126,133900000.0,14081.55,12069.9,4013370.0,781,828001.044,4831.99,14081.55,9249.56,Applicable,736000.9280000001,5706.21,12069.9,6363.69,Applicable
127,133900000.0,14081.55,12069.9,4013370.0,781,8900996.544,51943.8,14081.55,-37862.25,Not Applicable,7911996.928,61341.63,12069.9,-49271.73,Not Applicable
128,133900000.0,14081.55,12069.9,4013370.0,781,4870800.0,28424.67,14081.55,-14343.12,Not Applicable,4329600.0,33567.34,12069.9,-21497.44,Not Applicable
129,133900000.0,14081.55,12069.9,4013370.0,781,7597800.0,44338.7,14081.55,-30257.15,Not Applicable,6753600.0,52360.59,12069.9,-40290.69,Not Applicable
130,133900000.0,14081.55,12069.9,4013370.0,781,2187000.0,12762.74,14081.55,1318.81,Applicable,1944000.0,15071.81,12069.9,-3001.91,Not Applicable
131,133900000.0,14081.55,12069.9,4013370.0,781,5202000.0,30357.46,14081.55,-16275.91,Not Applicable,4624000.0,35849.82,12069.9,-23779.92,Not Applicable
132,133900000.0,14081.55,12069.9,4013370.0,781,3252600.0,18981.29,14081.55,-4899.74,Not Applicable,2891200.0,22415.44,12069.9,-10345.54,Not Applicable
133,133900000.0,14081.55,12069.9,4013370.0,781,6102000.0,35609.62,14081.55,-21528.07,Not Applicable,5424000.0,42052.21,12069.9,-29982.31,Not Applicable
134,133900000.0,14081.55,12069.9,4013370.0,781,1007997.048,5882.4,14081.55,8199.15,Applicable,895997.376,6946.66,12069.9,5123.24,Applicable
135,133900000.0,14081.55,12069.9,4013370.0,781,8860500.0,51707.47,14081.55,-37625.92,Not Applicable,7876000.0,61062.54,12069.9,-48992.64,Not Applicable
136,133900000.0,14081.55,12069.9,4013370.0,781,855000.0,4989.55,14081.55,9092.0,Applicable,760000.0,5892.27,12069.9,6177.63,Applicable
137,133900000.0,14081.55,12069.9,4013370.0,781,3971494.1610000003,23176.56,14081.55,-9095.01,Not Applicable,3530217.032,27369.74,12069.9,-15299.84,Not Applicable
138,133900000.0,14081.55,12069.9,4013370.0,781,6105805.839,35631.83,14081.55,-21550.28,Not Applicable,5427382.968,42078.44,12069.9,-30008.54,Not Applicable
139,133900000.0,14081.55,12069.9,4013370.0,781,3604500.0,21034.88,14081.55,-6953.33,Not Applicable,3204000.0,24840.58,12069.9,-12770.68,Not Applicable
140,133900000.0,14081.55,12069.9,4013370.0,781,4876200.0,28456.18,14081.55,-14374.63,Not Applicable,4334400.0,33604.56,12069.9,-21534.66,Not Applicable
141,133900000.0,14081.55,12069.9,4013370.0,781,7020000.0,40966.81,14081.55,-26885.26,Not Applicable,6240000.0,48378.65,12069.9,-36308.75,Not Applicable
142,133900000.0,14081.55,12069.9,4013370.0,781,800999.739,4674.42,14081.55,9407.13,Applicable,711999.768,5520.13,12069.9,6549.77,Applicable
143,133900000.0,14081.55,12069.9,4013370.0,781,2428200.0,14170.32,14081.55,-88.77,Not Applicable,2158400.0,16734.05,12069.9,-4664.15,Not Applicable
144,133900000.0,14081.55,12069.9,4013370.0,781,7527600.0,43929.03,14081.55,-29847.48,Not Applicable,6691200.0,51876.8,12069.9,-39806.9,Not Applicable
145,133900000.0,14081.55,12069.9,4013370.0,781,650700.0,3797.31,14081.55,10284.24,Applicable,578400.0,4484.33,12069.9,7585.57,Applicable
146,133900000.0,14081.55,12069.9,4013370.0,781,3291300.0,19207.13,14081.55,-5125.58,Not Applicable,2925600.0,22682.15,12069.9,-10612.25,Not Applicable
147,133900000.0,14081.55,12069.9,4013370.0,781,3291300.0,19207.13,14081.55,-5125.58,Not Applicable,2925600.0,22682.15,12069.9,-10612.25,Not Applicable
148,133900000.0,14081.55,12069.9,4013370.0,781,4040100.0,23576.93,14081.55,-9495.38,Not Applicable,3591200.0,27842.54,12069.9,-15772.64,Not Applicable
149,133900000.0,14081.55,12069.9,4013370.0,781,6565400.181,38313.89,14081.55,-24232.34,Not Applicable,5835911.272,45245.76,12069.9,-33175.86,Not Applicable
150,133900000.0,14081.55,12069.9,4013370.0,781,3442500.0,20089.5,14081.55,-6007.95,Not Applicable,3060000.0,23724.15,12069.9,-11654.25,Not Applicable
151,133900000.0,14081.55,12069.9,4013370.0,781,5119200.0,29874.26,14081.55,-15792.71,Not Applicable,4550400.0,35279.2,12069.9,-23209.3,Not Applicable
152,133900000.0,14081.55,12069.9,4013370.0,781,3028500.0,17673.5,14081.55,-3591.95,Not Applicable,2692000.0,20871.05,12069.9,-8801.15,Not Applicable
153,133900000.0,14081.55,12069.9,4013370.0,781,4910400.0,28655.76,14081.55,-14574.21,Not Applicable,4364800.0,33840.25,12069.9,-21770.35,Not Applicable
154,133900000.0,14081.55,12069.9,4013370.0,781,2706300.0,15793.23,14081.55,-1711.68,Not Applicable,2405600.0,18650.59,12069.9,-6580.69,Not Applicable
155,133900000.0,14081.55,12069.9,4013370.0,781,2952900.0,17232.32,14081.55,-3150.77,Not Applicable,2624800.0,20350.05,12069.9,-8280.15,Not Applicable
156,133900000.0,14081.55,12069.9,4013370.0,781,10820639.808,63146.32,14081.55,-49064.77,Not Applicable,9618346.496,74570.94,12069.9,-62501.04,Not Applicable
157,133900000.0,14081.55,12069.9,4013370.0,781,864060.192,5042.42,14081.55,9039.13,Applicable,768053.5040000001,5954.71,12069.9,6115.19,Applicable
158,133900000.0,14081.55,12069.9,4013370.0,781,3402000.0,19853.15,14081.55,-5771.6,Not Applicable,3024000.0,23445.04,12069.9,-11375.14,Not Applicable
159,133900000.0,14081.55,12069.9,4013370.0,781,11862885.816,69228.58,14081.55,-55147.03,Not Applicable,10544787.392,81753.62,12069.9,-69683.72,Not Applicable
160,133900000.0,14081.55,12069.9,4013370.0,781,900014.184,5252.24,14081.55,8829.31,Applicable,800012.608,6202.49,12069.9,5867.41,Applicable
161,133900000.0,14081.55,12069.9,4013370.0,781,3454200.0,20157.77,14081.55,-6076.22,Not Applicable,3070400.0,23804.78,12069.9,-11734.88,Not Applicable
